id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
f169ef36-e708-429e-a679-2d117649c9ee,f,15-24,ARG,5,5,3,1,3,1,2,3,5,5,5,
1ba5662b-df6c-425f-91d1-74ba54df6444,f,25-34,ARG,3,3,2,1,4,4,2,4,1,4,2,
5eb14677-27fb-4933-a566-13d534dc2f47,m,25-34,ARG,5,3,4,2,5,2,3,4,3,3,5,
ca12b856-41c6-4cac-8807-8e9f817eb6b2,m,15-24,ARG,5,5,5,3,3,3,2,3,2,3,1,
9cdefd38-b3ae-4928-9892-da101c4e19ff,m,35-44,ARG,5,3,4,3,5,4,3,5,5,5,2,
471f018e-97c6-414d-9ff5-b3a05540b195,m,45-54,ARG,5,5,5,4,5,5,4,4,3,5,5,
82afe9ea-0fac-49da-bc36-c70cdf3a4c9c,f,25-34,ARG,3,4,5,3,4,5,4,5,5,4,4,
6300b443-3d10-4872-89f2-21fb6c5344f6,m,25-34,ARG,5,5,5,5,5,5,5,5,5,5,5,Ganas de Vivir
00d57e3c-74a9-4e71-b8d3-857fe821c66d,f,35-44,ARG,4,3,3,3,5,5,4,5,3,5,5,Poder disfrutar de las cosas pequeñas de la vida con mi familia y amigos sin tener que pensar en lo económica ni la seguridad
f1fcdd01-8d2c-493d-a44c-fb753cb9c2c2,m,35-44,ARG,2,3,4,3,5,3,4,1,3,1,5,
3ebfa4cb-3396-4721-aeff-ba8cce257954,m,15-24,ARG,4,3,4,3,5,3,2,5,3,4,3,
cbfd967c-f4b8-47e8-a9bb-3a5d9e20be0d,m,25-34,ARG,3,3,4,3,5,5,1,3,4,5,5,
242dc8b3-4f6a-41bc-9a05-9934b0012147,m,25-34,ARG,0,3,3,2,1,1,2,1,2,1,2,vivir en paz y colaborar con la comunidad
fb43c200-97d2-408e-9ff9-cb8b5478dbb2,f,15-24,ARG,4,3,3,5,5,3,3,4,4,5,5,
72f521cc-0e44-4739-852b-946305de3d54,m,25-34,ARG,3,3,5,3,5,3,4,5,2,5,3,
9d7960a5-2944-4a28-a617-f1a7ee46e9d5,m,25-34,ARG,4,3,4,4,4,4,3,3,4,4,4,l realizacion propia
3ee0c0d8-98b3-42b0-be86-66a6021b2a42,f,25-34,ARG,3,5,5,3,3,3,3,3,3,3,3,
98a276e5-9a45-41c1-ada4-4f513f2fd33d,f,25-34,ARG,5,2,2,2,5,5,2,5,5,5,5,
63df2301-6220-4aa7-9346-a005f03d4d0f,m,15-24,ARG,2,4,3,5,4,3,2,3,3,4,5,
bc6275be-fb24-40fd-ba76-4d5eb353304c,m,25-34,ARG,5,5,3,3,4,5,4,5,2,5,5,
d8c062af-ea03-4606-8bea-26c1bf8f694e,m,25-34,ARG,2,2,2,2,2,0,2,2,2,0,2,
5b5e3f4f-00c7-48a2-97d7-d7da0db75708,m,35-44,ARG,3,4,4,3,5,2,3,4,4,5,5,
e46c99ee-0841-482b-ba2c-b38d78ac9191,f,25-34,ARG,2,1,4,1,5,3,3,5,2,5,2,
9e85bd30-828d-4e23-a3b5-af7d084ab856,m,35-44,ARG,4,2,4,3,4,2,1,3,4,5,2,
1ffbcd23-6068-4d0c-9ee1-c1a59dfb3585,m,15-24,ARG,4,3,4,5,5,3,3,4,4,4,3,
3dbfacf7-d855-4f9f-bfaf-334880df3dee,m,15-24,ARG,5,5,5,3,5,3,3,5,3,5,5,"Ingreso, Salud y Educacion"
c2bb682f-6e65-44be-9d41-1d886de29010,m,35-44,ARG,3,3,2,2,1,2,1,4,5,5,5,
a30de11b-4d3b-4b07-8a0a-6ccc623957fa,m,35-44,ARG,4,3,3,3,4,3,4,4,4,4,4,
b664a2a2-4872-4bc8-932e-24f21bd2a50d,m,15-24,ARG,4,3,5,3,5,4,3,4,4,3,5,
a30f97f6-361a-4d7c-89e9-3f0b6fd07ba8,f,35-44,ARG,4,3,3,3,5,2,1,5,1,4,1,
961a6107-dade-4612-9b3c-7188fb85fc3e,m,25-34,ARG,2,2,3,2,5,2,2,4,2,4,2,Felicidad
57c3538f-9706-4cc6-8396-2e74847b565e,m,35-44,ARG,3,3,4,3,5,3,3,4,3,4,3,
83e1ba9a-3ce9-4103-9e33-65b46659bced,m,35-44,ARG,3,3,3,3,5,5,5,4,4,3,3,
90de5fdd-ba4e-4aa2-8cf2-55888c566200,m,35-44,ARG,4,4,3,4,5,4,4,5,4,5,4,
4a229225-2696-48dc-9457-c73493f73516,m,35-44,ARG,5,5,3,3,4,4,3,4,2,5,5,
0f793674-a1fe-405a-a65a-82f3b5d8d165,f,25-34,ARG,4,4,4,4,5,4,4,5,4,5,4,
2bc51b1e-ed77-493c-a739-92090fe852b5,m,15-24,ARG,5,3,3,4,5,2,2,5,4,4,3,"Poder Vivir de forma saludable, sin miedo en las calles por la inseguridad y con un nivel estable en la economía del país."
43f09615-1f0f-4309-9910-b20242c322eb,m,25-34,ARG,5,2,4,2,5,3,2,5,4,3,3,
58d68eb6-8d9d-4696-8534-cd5fc0fa4380,m,35-44,ARG,3,3,3,2,4,3,3,5,5,4,5,tener salud y trabajo para poder disfrutar de las cosas lindas de la vida
b95f2f8b-28e9-4b57-9cc3-ce6082de4886,m,15-24,ARG,4,3,5,3,5,4,2,5,2,5,3,
ffe6cd96-8543-4ae9-ac18-110431f1a2c8,m,25-34,ARG,3,5,3,3,5,3,2,5,3,4,3,
1823b5c6-c574-431f-818f-53d64af88295,m,25-34,ARG,3,3,4,2,4,2,2,4,4,4,5,
2173d5b5-5e89-4b54-a040-725b55c2b08a,m,25-34,ARG,3,3,3,3,5,3,3,4,3,4,3,
baf34315-206c-4ab3-a11a-0224a8a3761c,f,35-44,ARG,4,3,4,4,5,5,3,5,5,5,5,
3e411d92-fe12-46be-87b6-f78a8fa4ff64,m,15-24,ARG,1,3,3,1,1,1,1,1,1,1,5,
5487fd67-08f0-4428-8996-99344483fbb5,m,25-34,ARG,3,2,3,4,4,2,1,4,3,1,4,
1a4d9878-799d-430f-bb90-1006ea81abe9,m,25-34,ARG,5,5,4,0,4,2,0,3,5,2,5,Estabilidad
6f9f6bf6-ade1-433b-ba3a-8324fce5e928,m,25-34,ARG,2,5,3,3,4,3,5,5,5,5,5,
0aadf06c-07d4-4bba-9209-67e215d4dea2,m,15-24,ARG,2,5,3,1,3,2,1,5,5,5,3,
f418d230-6727-42d4-9e9f-da4a60bc0b0a,m,25-34,ARG,5,4,3,2,4,5,2,4,3,5,5,
298d5d8b-9a9b-492f-812f-9761bf3ad4b2,f,25-34,ARG,2,2,2,1,3,3,1,3,4,2,3,
73e15848-25c1-482c-97c8-a2ac56bef09c,m,15-24,ARG,3,4,4,3,5,2,3,5,3,5,3,Una buena educación genera mayor y mejor empleo. Más seguridad y mejor salud.
8d1b8f41-55c6-4f1d-a2b4-9f59317b2c1e,f,35-44,ARG,5,5,5,4,5,3,2,5,3,5,3,
122b6af4-2c69-4e4a-ae2b-000d44187edd,m,25-34,ARG,5,5,2,5,5,5,3,2,4,2,5,
628fc06e-1d0b-4f2e-9f5b-ce4855fbdf8c,m,25-34,ARG,5,4,5,3,5,2,3,5,3,5,4,
1ec194a5-bf30-4979-a193-4ede89a726de,m,25-34,ARG,3,3,1,2,0,1,1,1,1,1,1,
d34d8dda-9b2d-4153-9821-857a8b9cc3ce,m,45-54,ARG,3,3,3,5,5,5,4,5,5,4,5,
d209c9bc-b0c3-41f7-b5e1-a88e5bb053a3,f,25-34,ARG,5,5,5,5,5,5,5,5,5,5,5,
79b7b28d-f9e8-4903-ab7b-9d6c4d1f5494,f,25-34,ARG,5,5,5,3,3,5,2,5,5,5,5,
edc4d9b2-ac2f-470e-8556-04bd3b65cd89,m,15-24,URY,2,3,3,5,2,5,2,2,1,3,1,Desarrollo sustentable y environmentally friendly.
f9bead56-f92c-4806-af6c-054e354682ff,f,25-34,ARG,4,3,5,3,4,4,3,4,3,4,3,
aa6082fe-c460-4d72-b9cc-67d97b740e3b,m,25-34,ARG,2,3,2,1,2,1,1,3,3,2,3,
7d20759b-5208-4dcf-9174-170e1c1d693d,f,25-34,ARG,5,4,5,5,5,4,4,5,4,5,4,
47075614-cd55-43b3-96e3-3042cc649aac,m,25-34,ARG,5,3,5,3,3,3,3,5,3,5,0,
96872647-1eb8-4362-8b75-098b15e17c51,m,25-34,ARG,3,3,3,3,5,5,3,3,5,5,5,
61402873-6e64-4008-b01c-d89c2e09cd47,m,25-34,ARG,5,5,4,1,3,1,1,4,3,3,3,
e4f11dd7-017c-49ae-839f-8305286b3b45,m,25-34,ARG,3,3,2,3,5,5,2,4,4,3,3,
25a45549-d9b8-4456-a4f4-778441bcffc1,m,25-34,ARG,5,3,4,2,3,2,1,4,1,5,2,
348bbbb2-da3a-4daa-8a5b-e92984982b66,m,25-34,ARG,2,4,4,3,4,4,4,3,2,3,3,
