id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
8b0e5d37-69a6-407a-a2f3-50df26714f05,m,25-34,MEX,3,4,3,3,5,5,4,5,3,4,4,"Seguridad, Salud, Ingreso y Vivienda"
e2e04d62-06fb-46e3-bda0-ee137e2c7b9b,f,>65,POL,4,1,1,1,1,1,1,1,1,1,1,Life Satisfaction
9b6f3f7e-963e-411f-93ea-f5deb31fa58e,m,15-24,MEX,5,5,5,3,5,4,3,3,5,3,5,
e6c31a7f-680b-4d72-a8ba-d5b9de4ed7ed,f,25-34,CAN,3,3,3,3,4,4,2,4,3,3,3,
e2d61a6e-bd1a-49a9-bf2e-1a2b90b80e3a,f,15-24,AUS,2,1,1,2,5,4,2,4,5,3,3,
92f2acf5-019c-48c5-813b-701d0b5a7056,m,25-34,GBR,4,4,4,3,4,3,4,5,5,5,4,
d463caad-c077-401d-99d3-36c1f51fb215,f,25-34,FRA,5,3,5,5,5,5,5,4,5,5,5,Relax
0c575124-4dfd-488e-98e1-bf8b275f5440,f,15-24,USA,2,2,2,1,3,1,1,1,2,2,1,
acad1cbd-47e8-45fa-904d-07b750595376,m,15-24,MEX,5,5,3,1,5,5,1,2,4,5,1,Poder cumplir todas tus metas
f72df1eb-dc16-402d-bb0f-f0ac7a18b12a,f,25-34,USA,4,5,5,1,3,3,1,4,4,3,4,
03181f4a-431c-4436-a39b-65d2551501a8,f,25-34,MEX,4,5,5,2,3,3,2,5,2,1,4,Progresar y mejorar el nivel de vida que mis padres me dieron cuando era menor.
37cd9459-dd38-4793-be58-e2623c1ea688,m,15-24,USA,3,3,3,4,4,4,1,4,3,1,3,
51bd19a2-dacf-4d6d-bfe8-acf9d1f10c87,f,25-34,RUS,3,2,2,2,3,5,3,5,4,4,4,
80cbc408-f111-4375-8a20-43d7c4ba0ee3,m,35-44,DEU,1,1,1,1,1,1,1,1,1,1,1,
8f4d2cd3-fdf1-4896-8909-20306805e34f,f,15-24,MEX,4,5,3,5,4,4,5,4,4,5,3,
64168041-ad1f-4bca-ab55-b712d1fb5fe8,m,25-34,FRA,4,3,3,2,5,5,1,5,5,5,5,La nature et la santée
1cb69c95-07a0-4479-8c4e-f62bdd07250c,f,25-34,MEX,5,5,5,5,5,5,5,5,5,5,0,
2d900078-4a6f-4779-98b9-4f69134e8b7e,m,15-24,USA,4,4,4,3,2,5,3,5,3,3,5,
d1e718cb-0dd9-4d68-a890-ae3353ad9681,f,15-24,USA,3,4,4,3,5,3,3,5,2,4,3,
b1ffde7b-f794-4d6d-92b8-65b0722ec773,m,45-54,MEX,5,4,5,5,5,4,5,5,4,3,3,"Vivir con Dignidad, en paz y armonía con mi entorno.
"
6a86b321-dc5f-4125-b4df-0ad7fbc06bab,m,25-34,ESP,3,2,4,4,5,3,3,4,5,4,4,
8cb4752a-9c44-401d-9562-f7f937f00fd3,f,15-24,MEX,4,4,4,3,4,4,3,3,4,4,4,
fb2667fe-0173-484a-95d2-a5a59e4d5d07,f,15-24,USA,5,2,5,5,1,5,1,1,1,5,1,
b3a309ed-e753-46dc-8f07-48981b3bed08,f,15-24,FRA,2,2,3,3,3,4,1,1,3,1,3,
f5f1228f-18dc-4625-96c5-1ec80393aa8d,f,25-34,NLD,3,4,3,3,2,5,1,3,5,3,5,
a30e3e0e-5b79-41c4-9c12-3e50ab42e336,f,25-34,CHE,3,2,2,1,3,4,1,2,4,2,5,
0b542c7b-41c0-4066-bb98-a11de7778ab4,f,15-24,USA,3,3,3,4,4,5,4,4,5,4,4,
81c63466-92b1-4833-95dc-27de7ceeac85,f,25-34,SWE,3,3,4,3,3,3,3,4,4,3,4,
088ff8e4-72a3-4f36-988c-60540270ba2c,f,25-34,ITA,4,3,2,4,4,2,2,3,5,1,3,
58b66631-75ee-475c-9917-566c265e9b5a,m,45-54,KOR,1,5,5,1,1,1,1,1,1,1,1,
59073de0-0cf9-4d0f-91ed-740022b98b28,m,25-34,PHL,3,3,2,5,3,4,3,4,4,4,5,
de27b9ae-308d-4c6d-9c35-9e04a318fb9e,m,25-34,AUS,5,5,5,5,5,5,5,5,5,5,5,
f34ff552-3d8e-4b7b-a428-d609969c2b23,f,15-24,AUS,1,1,1,1,1,1,1,1,1,1,2,better life means to have a stable amount of all of the topics. 
4c97da44-258d-4b14-9039-ee5a312e5b61,f,25-34,CZE,3,3,2,3,2,2,1,5,3,4,3,
dd2e8719-ae0a-4152-8fd3-4b08a24b365e,m,15-24,CHN,4,4,4,2,3,5,5,5,3,3,5,
1b70d4a3-7738-4233-861c-f26df44c62b7,m,15-24,USA,3,3,3,4,3,5,2,5,5,3,3,"Happy Life with lots of family and friends
"
2798a30f-3b0f-41a7-9caa-abc88ce58429,f,35-44,AUS,2,2,3,5,4,4,4,4,4,3,4,The freedom to be who I really am and operate according to my values.
4940bc3f-90f0-449d-986d-6d36238dece1,f,15-24,MEX,5,4,5,4,5,5,4,4,4,5,5,
05d7f70b-2c8a-40e9-8234-f1d982e6403e,f,15-24,AUS,3,4,4,1,5,3,1,3,4,5,3,"It means having security in life such as education, health and a secure job."
9f7eb29b-b722-4498-889b-affe9130652d,f,15-24,AUS,2,3,3,2,5,4,4,5,4,4,2,
28eba9a4-48ca-4ec8-904c-00c1c53efacc,f,15-24,AUS,4,4,3,2,4,4,2,5,5,5,3,"A Better Life to me means feeling secure in my safety, health, income and home, and being happy and satisfied with my life."
fe5d4476-e25a-4e1d-8f99-e23f5e9422a9,f,15-24,AUS,0,0,0,0,0,0,0,0,0,0,5,a better life means to me that I have a good education and safety which gives me life satisfaction and a great income
9ac8005c-2a76-49d9-bfea-61baec277d66,f,35-44,AUT,5,5,1,2,1,4,2,5,5,5,5,"Mehr Zeit für Freizeit, Familie und Kinder. Ein Stück Land und ein sicheres Einkommen."
89aa55fe-8944-4aaf-8d29-6b2421a2781e,m,45-54,USA,4,5,5,3,3,3,2,4,5,3,5,
f9a67fcf-5df4-4605-8424-f33dc4ea021a,f,15-24,AFG,0,0,0,0,0,0,0,0,0,0,5,To have better protection by the Australian soldiers.
