id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
ba85688f-a4aa-4c1c-a198-0e8c372e687d,m,15-24,AUS,1,1,1,1,1,1,1,1,5,1,1,"To be able to have sufficient food, fresh air, clean water and a place to lived. While being safe."
b8b71d67-97a9-4497-a5fa-6b1fddf54105,m,>65,AUS,1,3,4,1,3,4,2,3,4,3,4,self-satisfaction
da93786d-98a4-41f5-b89d-9d542db66a37,f,55-64,DEU,4,3,2,1,2,4,1,3,5,4,4,
58daaa1a-2f83-4fc8-88e5-6b227e58870f,f,25-34,POL,0,0,0,0,0,0,0,0,5,0,0,
630c2dc4-a6d8-4a42-a514-7c7d01d06f1a,f,15-24,URY,3,3,4,3,5,3,4,5,5,5,4,
1a688621-f71d-4d27-8770-09b2b66b5a5a,m,>65,CAN,2,1,1,2,2,1,2,2,2,2,1,
6ca66a09-a610-4971-968e-ac8568a26045,f,>65,AUT,2,1,1,3,3,3,3,3,2,1,3,
e1e3641d-a9a7-4234-8277-abcc29ace929,m,25-34,MEX,3,4,4,2,5,3,3,5,5,4,5,Encontrar el equilibrio perfecto entre vida y trabajo teniendo buenos ingresos que me permitan sentirme satisfecho y conseguir un buen hogar
92dfea79-cdf7-410c-9fa4-ff4076ac1f11,f,25-34,ESP,5,5,5,5,5,5,5,5,5,5,5,Have a good remunerated job the you could combine with your free time and family
c4cb8029-bf8e-4a18-be65-1d49d4f36cf9,f,15-24,CHN,3,4,3,3,4,3,2,2,3,3,2,
fc1a6678-ca61-4897-b294-73e895a1ba52,f,15-24,CAN,4,3,4,5,5,4,3,5,5,5,4,
fc29147b-f9c9-430c-8b23-50327ceb1920,m,15-24,MEX,5,4,5,5,5,5,5,5,5,5,5,"Mayores oportunidades disponbles, paz y compromiso."
0466ed4d-0ed7-432b-b203-aed46a910241,f,45-54,FRA,5,5,5,0,5,4,0,5,5,5,0,santé 
456aa962-adda-4821-b73f-a1f9893b7ff7,f,25-34,MEX,1,2,2,3,3,1,2,2,2,3,3,
