id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
936a1dfc-69e0-401c-b76e-a199d19fff6e,m,25-34,MEX,3,3,4,1,2,3,1,5,5,5,5,
80ec14e1-722c-4f4b-9853-4842b1344472,m,25-34,BRA,4,5,3,2,5,4,2,5,3,5,5,
5744fa1b-7964-4060-bacd-2101c8014b64,m,35-44,BRA,5,5,5,1,5,5,1,5,5,5,5,
178fdcf6-0da3-401b-b41b-dcacaa7899d0,f,35-44,BRA,5,3,3,3,5,5,4,5,4,5,5,
e4b5c121-7d01-44f3-8834-d629286f918d,f,55-64,BRA,5,4,5,3,4,4,3,5,3,4,4,
5b5c6c87-5686-4783-86ed-ae71991df27b,m,55-64,BRA,5,5,5,3,3,3,3,3,5,5,5,Be happy !
35c3c2db-b91e-4859-b093-4201dbc4cfd6,m,25-34,BRA,3,2,2,3,2,1,1,3,3,3,4,
5b8a38a5-9db3-473a-9c46-6c574812b304,m,25-34,BRA,1,1,1,1,1,1,1,1,1,1,1,Happiness
da820a21-d036-4fc3-afe7-26c40b8db765,m,35-44,POL,3,4,3,1,4,5,2,4,3,4,2,
11f9b78a-0975-48a6-b573-aa4b22657213,m,45-54,BRA,3,3,4,2,5,3,1,4,3,4,3,"Significa melhor Educação, Segurança. Saúde e Emprego para proporcionar a tranquilidade de uma vida melhor."
c2407b7b-e9c7-4516-9801-906652b64cc8,f,25-34,IND,2,2,2,5,5,5,5,5,5,2,5,contentment
c3ddfa21-0b36-4f7a-9075-ba66aef68ced,m,25-34,MEX,4,4,4,3,5,3,3,4,4,3,4,Gozar de los derechos fundamentales y generar bienestar común
2008fdf8-f421-4530-b72d-a330c039a49c,f,45-54,BRA,3,2,3,4,4,4,3,5,3,4,4,
7177b4b9-b74a-4e9d-b356-de902191fc83,m,25-34,MEX,3,3,4,1,4,2,3,5,2,3,4,"Una vida en la cual, no debo preocuparme del todo por mi futuro y el de mis seres queridos."
29341968-28aa-461c-9678-ad8eca23ec46,m,45-54,FRA,3,3,4,3,5,3,2,4,3,4,2,
