id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
17112,f,15-24,FRA,4,5,5,5,3,2,1,4,5,3,5,
17111,m,15-24,ANT,2,2,2,2,2,1,5,5,5,5,5,manger
17110,f,25-34,FRA,3,5,5,3,3,3,1,5,2,5,3,
17109,f,15-24,FRA,5,5,5,5,5,3,3,5,5,5,3,
17108,f,15-24,FRA,4,3,4,4,3,3,2,5,4,3,4,
17107,f,15-24,FRA,4,4,4,3,3,2,1,4,3,3,2,
17106,m,15-24,FRA,5,5,5,5,1,1,1,5,1,1,1,
17105,f,15-24,FRA,3,4,3,5,3,3,1,4,4,4,4,
17104,m,15-24,FRA,4,3,4,4,3,4,3,4,5,5,5,
17103,f,15-24,FRA,5,5,5,5,5,1,0,3,5,3,3,
17102,m,15-24,FRA,4,2,3,3,5,3,2,5,5,5,3,
17101,f,15-24,SGP,3,3,4,1,3,1,1,5,5,3,3,
17100,m,15-24,FRA,0,1,1,1,1,1,1,1,1,1,1,
17099,f,35-44,GBR,4,4,4,3,4,4,3,4,4,2,3,#asianforum
17098,m,25-34,IND,4,5,4,4,4,5,3,5,5,4,5,
17097,m,>65,BEL,3,2,3,3,3,2,2,3,4,2,3,
17096,m,25-34,LUX,1,5,5,1,1,1,1,5,5,3,1,
17095,f,45-54,FRA,3,2,4,3,5,3,1,2,1,1,4,
17094,f,45-54,DEU,2,3,3,4,3,2,3,4,5,3,3,
17093,m,15-24,FRA,0,5,5,0,5,0,0,0,0,0,5,
17092,f,45-54,USA,5,3,3,3,3,3,3,3,5,1,5,
17091,f,15-24,FRA,0,0,0,0,1,1,1,1,1,1,1,
17090,f,25-34,POL,5,4,5,2,5,2,2,5,5,5,3,
17089,m,15-24,FRA,0,0,0,0,0,0,0,0,0,0,0,
17088,m,15-24,FRA,3,5,3,5,2,2,0,4,3,4,2,
17087,f,15-24,FRA,4,3,3,4,4,3,3,5,5,5,4,
17086,m,15-24,FRA,4,5,2,5,2,3,2,5,3,2,3,
17085,f,35-44,GBR,5,2,5,5,5,2,5,5,5,2,5,
17084,f,25-34,NOR,1,1,1,1,1,1,1,1,1,1,1,
17083,m,15-24,USA,1,1,1,1,5,1,1,5,5,1,1,
17082,m,25-34,ESP,3,2,2,2,5,3,3,5,5,4,3,
17081,m,25-34,CHL,5,1,2,2,5,3,1,5,5,3,3,
17080,m,25-34,FRA,4,4,3,4,5,5,4,5,4,5,4,
17079,m,15-24,USA,4,3,3,5,5,5,4,3,5,3,5,
17078,f,25-34,BGD,3,2,2,3,5,3,2,5,5,5,3,#asianforum
17077,m,35-44,AUS,4,3,4,4,5,3,3,5,4,3,5,#asianforum
17076,m,25-34,COL,5,5,5,2,5,5,2,1,2,5,2,
17075,m,15-24,USA,4,4,3,4,3,2,1,3,4,4,4,
17074,m,55-64,USA,4,3,3,3,4,4,3,4,4,3,5,
17073,f,15-24,FRA,3,4,4,4,4,3,3,4,3,4,2,
17072,m,25-34,ITA,3,2,4,1,5,4,2,5,3,3,4,
17071,f,15-24,AUS,5,4,4,4,5,4,2,5,4,1,3,idk
17070,m,25-34,FIN,3,0,0,3,5,4,3,4,5,3,4,
17069,m,>65,SWE,5,4,4,3,5,5,2,5,3,5,3,
