id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
37112,f,55-64,FRA,2,3,3,2,2,3,1,1,3,4,3,
37111,f,35-44,FRA,2,2,4,3,4,3,1,3,4,5,3,
37110,m,25-34,FRA,5,5,2,5,5,3,3,5,5,5,5,
37109,m,45-54,ESP,4,3,5,3,5,3,3,5,3,4,3,
37108,f,25-34,FRA,3,3,5,3,2,5,3,3,5,5,5,
37107,f,25-34,FRA,4,3,3,5,5,3,2,5,5,5,3,
37106,m,35-44,CAN,1,5,5,2,1,1,1,3,3,5,2,
37105,f,15-24,FRA,3,3,4,3,1,3,1,3,3,3,4,
37104,m,25-34,ESP,4,4,5,1,5,3,3,4,5,5,5,
37103,f,25-34,DOM,3,4,4,1,4,2,1,4,5,5,5,
37102,f,45-54,FRA,3,5,5,3,2,4,2,5,3,2,4,
37101,m,35-44,CAN,5,3,5,0,3,5,0,5,5,4,5,
37100,f,15-24,MUS,4,3,3,4,3,5,2,5,3,5,4,d'amour
37099,m,25-34,FRA,5,5,5,5,5,5,5,5,5,5,5,
37098,m,55-64,FRA,4,3,3,1,2,2,1,1,2,3,4,
37097,m,35-44,ESP,4,4,5,3,5,3,3,5,4,3,4,
37096,f,45-54,USA,3,3,3,5,5,5,1,5,5,5,5,
37095,f,25-34,GBR,5,5,5,0,0,5,3,3,2,3,0,
37094,m,15-24,FRA,2,3,3,3,2,3,2,3,3,3,4,
37093,m,45-54,AUS,5,3,3,5,5,5,3,5,4,3,5,
37092,f,25-34,CAN,3,3,3,4,3,4,3,4,3,5,5,
37091,m,55-64,FRA,3,3,0,2,0,3,0,3,3,3,1,
37090,m,35-44,DOM,1,1,1,1,1,1,1,1,1,1,1,
37089,m,15-24,ESP,1,3,3,2,1,5,1,3,1,3,1,
37088,m,45-54,FRA,5,3,5,2,4,3,1,5,2,5,5,
37087,m,25-34,FRA,4,3,3,4,3,3,1,4,1,5,5,
37086,m,35-44,ESP,3,3,5,2,4,3,2,5,3,5,5,
37085,f,45-54,FRA,3,3,4,3,4,3,3,3,4,2,4,
37084,m,35-44,ESP,1,1,1,5,1,5,5,4,5,4,3,
37083,f,25-34,FRA,5,5,3,2,4,4,3,2,5,5,3,
37082,m,45-54,ESP,3,3,2,2,2,3,2,3,4,4,5,Economía para vivir bien y tiempo para estar en familia
37081,f,45-54,ESP,3,3,2,2,5,1,5,5,5,5,5,
37080,m,55-64,BEL,4,3,4,4,5,5,5,5,3,4,5,
37079,m,25-34,DEU,3,3,4,5,5,3,1,3,3,2,5,
37078,m,25-34,USA,5,5,5,0,5,5,0,5,0,5,5,"Money, good home, educated, safe, healthy, balance, environment."
37077,m,45-54,ITA,5,2,1,4,2,5,4,4,5,4,2,avere il massimo della soddisfazione 
37076,f,25-34,FRA,5,5,5,5,5,5,5,5,5,5,5,
37075,m,15-24,BEL,1,1,3,5,5,5,5,3,5,5,2,"Equality of chances, mostly through education."
37074,f,15-24,FRA,1,4,1,1,1,3,1,3,1,3,1,
37073,f,25-34,FRA,5,3,5,5,5,5,3,5,5,3,5,
37072,f,15-24,FRA,2,4,3,2,3,2,0,5,5,5,2,
37071,m,15-24,FRA,5,4,2,0,4,3,0,5,5,3,5,
37070,m,35-44,FRA,0,0,0,0,0,0,0,0,0,0,0,culture temps libre logement nature
37069,m,25-34,DZA,4,4,1,4,1,4,1,1,1,1,4,
37068,f,15-24,USA,0,0,0,0,5,0,0,5,0,5,0,
37067,f,25-34,CAN,2,2,1,1,1,1,3,5,5,5,4,"Calidad de vida, seguridad, tranquilidad"
37066,m,35-44,ARE,5,1,5,5,5,5,1,4,1,4,5,
37065,m,25-34,FRA,4,4,3,2,4,3,3,4,2,4,3,
37064,f,25-34,FRA,4,5,5,3,3,4,1,4,5,5,1,
37063,m,55-64,USA,5,1,1,1,1,5,1,5,5,5,1,
37062,f,35-44,MEX,5,3,5,4,5,5,5,5,5,5,5,"Tener salud, acceso al conocimiento y equilibrio entre vida personal y profesional y disfrutar lo que uno hace"
37061,f,25-34,ESP,4,3,4,5,5,4,4,4,5,4,4,
37060,m,25-34,FRA,2,3,5,3,3,5,3,5,4,4,3,
37059,f,55-64,DNK,0,0,0,0,0,0,0,0,0,0,5,
37058,m,25-34,FRA,5,5,5,5,5,5,1,5,5,5,5,
37057,m,25-34,BFA,5,0,0,0,0,0,0,0,0,0,0,
37056,m,25-34,CAN,5,5,3,3,2,0,1,5,5,5,5,
37055,f,25-34,USA,1,1,5,5,5,5,5,5,5,1,5,"Happiness is important to me and in order to be happy I need good community, health, life satisfaction, work-life balance, and civic engagem"
37054,m,35-44,FRA,5,5,5,2,2,5,1,5,5,5,5,
37053,m,25-34,FRA,4,3,4,1,2,2,1,2,1,3,4,
37052,m,45-54,CAN,3,3,3,4,4,5,3,4,5,5,3,
37051,m,35-44,USA,1,1,1,1,5,1,1,1,1,1,1,
37050,m,25-34,ESP,3,3,0,5,2,2,2,4,5,4,5,
37049,f,15-24,ESP,3,4,4,1,2,2,1,3,2,3,4,
37048,m,>65,USA,5,1,1,3,1,3,2,5,3,5,1,
37047,m,25-34,ESP,5,5,5,1,1,1,1,2,3,0,5,
37046,m,35-44,ESP,3,3,3,1,2,4,5,4,4,3,5,
37045,m,15-24,FRA,5,5,5,1,1,1,1,5,1,5,5,
37044,m,15-24,FRA,4,4,4,3,3,4,3,4,5,4,4,
37043,m,25-34,FRA,3,5,3,2,2,3,2,4,4,4,2,
37042,,,,3,4,5,5,4,5,2,5,4,5,4,
37041,f,35-44,CHE,2,5,5,3,5,5,4,5,4,5,5,
37040,m,25-34,FRA,3,3,3,2,2,2,1,3,3,4,3,
37039,m,25-34,FRA,3,5,1,1,2,2,1,2,3,5,4,
37038,m,>65,FRA,1,1,1,1,1,1,1,1,1,1,5,
37037,f,55-64,USA,4,3,3,3,4,5,4,5,5,5,1,
37036,f,35-44,FRA,5,5,5,1,1,3,1,5,3,5,5,
37035,f,25-34,ITA,2,4,5,2,3,5,2,4,3,3,5,
37034,f,45-54,BEL,5,5,5,5,5,5,5,5,5,5,5,
37033,m,45-54,CAN,4,5,5,3,5,3,3,5,5,5,5,
37032,m,35-44,DEU,4,4,3,3,5,4,2,4,3,4,2,
37031,f,15-24,FRA,3,3,3,3,5,5,1,4,2,3,4,Suède
37030,m,55-64,FRA,2,2,2,1,3,3,1,4,1,3,2,
37029,f,25-34,CAN,4,4,4,2,3,5,2,5,5,3,3,
37028,m,35-44,FRA,4,5,4,3,5,3,1,3,2,5,2,
37027,m,15-24,FRA,3,5,4,5,4,4,3,4,4,2,4,
37026,m,25-34,FRA,3,3,5,5,3,3,3,3,5,5,5,
37025,m,25-34,CAN,5,5,5,5,5,5,5,5,5,5,5,
37024,m,35-44,ESP,3,2,2,2,5,2,4,4,1,4,4,
37023,m,15-24,USA,1,0,1,2,5,1,5,2,5,0,4,
37022,f,35-44,FRA,5,3,3,2,5,4,3,3,1,4,3,
37021,f,35-44,USA,5,5,5,5,5,5,3,5,5,5,5,
37020,,,,1,1,5,1,1,1,1,1,1,1,1,
37019,m,25-34,FRA,3,5,5,1,5,1,1,3,5,4,1,
37018,f,35-44,ESP,3,3,5,0,5,2,1,5,3,5,5,
37017,f,35-44,FRA,4,4,4,1,3,2,2,3,3,4,4,
37016,m,55-64,ESP,3,4,4,4,4,3,4,5,4,4,4,health
37015,m,25-34,FRA,5,5,5,5,5,5,5,5,5,5,5,
37014,m,25-34,FRA,4,3,4,2,4,4,2,4,3,1,3,
37013,m,45-54,ESP,3,5,5,2,5,3,1,4,3,3,3,
37012,m,25-34,ITA,3,1,3,1,2,2,1,1,5,1,5,
37011,m,55-64,FRA,3,2,3,2,3,5,5,3,4,5,3,
37010,m,25-34,FRA,4,3,5,4,4,3,3,4,5,3,2,
37009,f,45-54,FRA,3,3,5,3,4,4,4,4,4,3,5,
37008,m,25-34,FRA,2,4,4,2,4,2,4,4,2,4,5,
37007,m,>65,USA,4,3,4,3,4,3,3,4,4,4,2,
37006,m,35-44,FRA,5,3,3,5,4,3,1,4,4,3,5,
37005,m,>65,CAN,3,3,3,5,4,5,5,5,5,5,2,
37004,m,45-54,USA,5,3,5,3,5,4,2,5,5,4,5,
37003,m,45-54,BEL,3,5,3,1,5,3,1,5,3,4,2,
37002,f,15-24,FRA,3,3,5,5,5,2,4,5,5,5,5,
37001,f,25-34,FRA,2,5,5,3,1,1,1,3,5,5,2,"Trouver un travail stable avec des possibilités d'évolution, rentrer chez moi en me sentant en sécurité, ne pas avoir à faire à un racisme "
37000,f,35-44,FRA,5,5,5,2,2,4,2,5,5,5,5,
36999,m,25-34,FRA,3,4,4,2,1,2,1,2,2,2,3,
36998,m,35-44,IND,4,5,3,4,1,3,4,5,4,5,5,A place that offers best to the off-springs perpetually.
36997,m,25-34,FRA,2,3,5,5,1,1,1,5,1,5,1,
36996,m,<15,FRA,4,3,4,1,3,3,3,5,0,4,3,
36995,m,35-44,ESP,3,3,3,2,3,5,3,5,3,5,3,
36994,m,15-24,CAN,5,5,5,5,5,5,5,5,5,5,5,
36993,m,25-34,CHL,3,3,4,4,5,5,2,5,5,4,5,
36992,m,25-34,ROU,1,1,1,1,5,1,1,1,1,1,1,
36991,m,35-44,POL,2,4,5,2,5,5,2,5,1,5,3,
36990,f,35-44,FRA,5,5,5,0,0,5,3,5,5,5,5,
36989,f,25-34,FRA,3,4,4,3,3,3,3,4,4,4,3,
36988,f,15-24,FRA,4,5,5,2,4,0,2,4,3,3,1,
36987,m,15-24,ESP,1,1,1,1,1,1,1,1,1,1,0,
36986,m,15-24,FRA,4,5,2,5,5,1,3,4,5,1,5,
36985,f,15-24,IRL,5,5,5,3,1,1,1,5,5,5,3,
36984,m,25-34,ESP,5,5,5,5,5,5,5,5,5,5,5,
36983,m,25-34,USA,3,5,4,3,3,2,1,4,5,3,3,
36982,m,<15,USA,4,5,5,3,3,3,1,5,5,4,5,
36981,m,35-44,FRA,5,3,4,1,4,4,2,3,5,4,5,"vivre dans un environnement sain, positif et sans stress excessif. Ce sont des opportunités de carrière, des logements à des prix décents et"
36980,m,45-54,USA,5,5,5,3,1,4,1,5,5,5,5,
36979,m,55-64,ESP,3,3,5,2,4,3,2,5,2,3,4,
