id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
27112,f,25-34,CAN,2,3,3,5,5,5,2,5,5,4,5,
27111,m,55-64,NOR,4,4,4,4,4,3,4,5,4,4,3,
27110,m,35-44,AUS,1,1,1,1,5,1,1,1,5,1,5,
27109,m,25-34,ESP,0,0,0,0,0,0,0,0,0,0,0,"Estabilidad laboral, seguridad y vivienda"
27108,m,25-34,SVN,5,5,4,3,3,3,2,4,4,5,5,
27107,m,25-34,IRL,4,3,4,2,4,4,1,4,4,3,3,
27106,m,45-54,CHE,3,5,1,5,4,5,3,5,1,5,3,
27105,m,55-64,DEU,3,2,1,1,5,3,1,5,4,1,1,
27104,m,55-64,JPN,1,1,1,1,1,1,1,1,1,1,1,
27103,f,45-54,ESP,4,3,4,3,5,3,4,4,2,2,5,
27102,m,25-34,ITA,2,1,3,2,4,5,3,5,5,3,3,"I don't want to be afraid of how many childs I could have, and  I want to have time to stay with them"
27101,m,>65,CAN,4,3,4,3,4,3,2,3,3,3,3,
27100,m,25-34,IRL,5,5,5,1,5,1,2,5,5,2,5,
27099,m,35-44,ESP,5,5,5,3,5,5,3,5,5,3,5,
27098,f,55-64,CAN,4,5,5,1,2,5,1,4,1,5,4,
27097,m,35-44,GBR,1,3,3,4,3,3,4,3,5,4,5,
27096,m,45-54,AUS,0,0,0,0,0,0,0,0,5,0,0,job and lifestyle security
27095,m,35-44,CAN,4,3,1,1,2,3,2,5,3,5,5,
27094,m,25-34,PER,5,5,5,5,5,5,5,5,5,5,5,
27093,f,25-34,TUR,3,3,5,5,5,5,4,5,5,3,5,
27092,f,25-34,GBR,3,2,5,4,5,3,5,5,5,5,5,"good health, life satisfaction, work-life balance, healthy income, civic engagement"
27091,m,25-34,IRL,1,5,3,4,2,1,3,3,4,1,5,
27090,m,25-34,DEU,4,1,3,1,5,4,1,3,3,5,4,
27089,m,15-24,GBR,4,5,5,1,5,2,1,4,5,3,4,
27088,f,15-24,USA,1,2,2,3,2,3,2,5,3,5,3,
27087,f,15-24,POL,4,3,2,3,3,2,1,3,5,2,2,More smile on people faces :)
27086,m,35-44,FRA,2,1,1,1,1,1,1,1,1,1,1,
